product_id,name,category,price,cost,active
1,Premium Watch,Home,32.28,23.37,True
2,Compact Mixer,Books,45.39,36.64,True
3,Advanced Mixer,Sports,10.19,6.99,False
4,Portable Mixer,Sports,60.26,25.86,True
5,Deluxe Watch,Toys,40.72,16.66,True
6,Compact Shoes,Home,28.2,12.25,True
7,Portable Headphones,Electronics,34.45,14.36,True
8,Classic Mixer,Books,119.26,71.41,True
9,Premium Lamp,Home,156.24,62.98,True
10,Lightweight Watch,Home,89.11,39.01,True
11,Deluxe Lamp,Automotive,116.73,55.26,True
12,Eco Headphones,Grocery,84.29,59.68,False
13,Advanced Lamp,Beauty,129.36,56.35,True
14,Premium Camera,Sports,45.13,35.09,True
15,Portable Shoes,Sports,145.25,71.35,True
16,Eco Lamp,Beauty,115.69,60.87,False
17,Lightweight Camera,Grocery,53.56,21.45,False
18,Premium Backpack,Home,23.18,16.46,False
19,Compact Shoes,Grocery,83.88,33.62,True
20,Premium Backpack,Books,106.54,56.13,True
21,Compact Watch,Automotive,67.32,37.61,True
22,Eco Headphones,Books,171.26,73.45,True
23,Essential Lamp,Books,36.07,16.46,True
24,Deluxe Notebook,Grocery,15.55,6.46,True
25,Premium Lamp,Sports,172.24,70.85,True
26,Compact Headphones,Fashion,85.35,62.44,False
27,Eco Watch,Books,88.65,44.58,True
28,Smart Watch,Books,72.4,34.92,True
29,Advanced Notebook,Fashion,21.01,14.08,True
30,Essential Headphones,Electronics,33.08,22.26,True
31,Smart Backpack,Electronics,168.97,72.91,True
32,Smart Watch,Books,81.57,55.17,True
33,Essential Notebook,Grocery,42.14,23.22,False
34,Compact Backpack,Sports,90.37,54.42,False
35,Premium Backpack,Fashion,20.5,9.55,True
36,Smart Lamp,Sports,62.5,45.22,True
37,Portable Lamp,Beauty,91.63,70.59,True
38,Advanced Speaker,Electronics,186.74,77.67,True
39,Lightweight Notebook,Outdoors,95.52,41.1,True
40,Lightweight Speaker,Outdoors,121.88,78.9,False
41,Lightweight Headphones,Beauty,100.14,54.64,True
42,Smart Speaker,Beauty,92.27,48.44,True
43,Premium Mixer,Electronics,97.63,40.76,True
44,Advanced Backpack,Electronics,88.75,68.85,True
45,Lightweight Backpack,Sports,146.75,75.62,True
46,Compact Shoes,Grocery,105.06,54.3,True
47,Smart Camera,Beauty,39.26,22.9,True
48,Deluxe Backpack,Fashion,11.44,5.7,True
49,Advanced Lamp,Home,58.92,42.94,True
50,Smart Camera,Home,46.67,26.37,True
